,id,question,A,B,C,D,answer
1470,Mercury_SC_400043,Which stage of a frog's life cycle can be compared to a plant seed growing into a new plant?,when frog eggs are laid in water,when frog eggs hatch into tadpoles,when tadpoles live in water and breathe with gills,when frogs use lungs for breathing out of water,B
1471,Mercury_7264075,Which of these elements is likely to be found in an organic compound?,helium,hydrogen,mercury,tin,B
1472,Mercury_7249498,What statement describes what happens to the carbon dioxide waste produced by a developing baby during pregnancy?,It is carried by the umbilical cord to the placenta and then to the mother's blood.,It is released from the fetus by its breathing and then is absorbed by the placenta.,It is released through the fetal urine and then exits through the umbilical cord.,It is carried through shared blood vessels and then to the mother's lungs.,A
1473,Mercury_7082775,Which part of the atom has a negative charge?,neutron,nucleus,electron,proton,C
1474,Mercury_SC_415347,Which is a learned behavior?,A dog uses its tongue to drink.,A robin holds a branch with its feet.,A chimpanzee digs for termites with a stick.,A worm moves to the top of flooded ground.,C
1475,Mercury_406774,Organisms that reproduce asexually generally have offspring that are,unicellular.,multicellular.,genetically varied.,genetically identical.,D
1476,TAKS_2009_5_39,Crows are found throughout many parts of the world. They are black birds with excellent hearing. In the wild they live for six to seven years. Some crows in Japan open hard-shelled nuts by dropping them in front of moving cars. Which of these is a learned behavior?,Having excellent hearing,Living six to seven years,Dropping nuts in front of cars,Having black feathers,C
1477,Mercury_SC_401625,Which object would best help a student determine if a block of an unknown material is magnetic?,wooden ruler,paper clip,glass marble,magnifying glass,B
1478,OHAT_2007_5_23,About how much of Earth's surface is covered by oceans?,less than 20%,about 50%,about 70%,more than 90%,C
1479,NYSEDREGENTS_2011_8_42,Sound will not travel in a,solid,liquid,gas,vacuum,D
1480,Mercury_SC_407452,What supplies most of the energy that plants need to make food?,rain,wind,minerals,sunlight,D
1481,MCAS_2015_5_13,Which of the following is the main role of flowers found on most flowering plants?,to take in air,to produce seeds,to absorb nutrients,to protect the stem,B
1482,ACTAAP_2007_7_6,Which adaptation will warn predators not to eat an animal?,bright colors,bulging eyes,geometric shapes,poisonous secretions,A
1483,Mercury_7115343,The cones of a jack pine tree require great amounts of heat to release their seeds. When are jack pine tree seeds most likely released?,during a flood,after a fire,during a drought,after a disease,B
1484,Mercury_SC_LBS10764,"When a thin slice from an onion is viewed through a microscope, lots of little box-like shapes are seen. These shapes are most likely",atoms.,dust.,cells.,bubbles.,C
1485,Mercury_7038710,Which is an example of substances reacting chemically?,iron and oxygen forming rust,paper being cut into small pieces,chocolate melting in a pan,flour and sugar mixed together in a bowl,A
1486,NYSEDREGENTS_2007_4_8,"An object's hardness, taste, and texture are examples of",principles,stages,properties,processes,C
1487,MDSA_2011_4_33,Some objects conduct electricity. Which object is the best conductor of electricity?,a metal fork,a wood spoon,a plastic comb,a rubber eraser,A
1488,Mercury_182210,"Which of the following eras is known as the ""Age of Mammals""?",Precambrian,Paleozoic,Mesozoic,Cenozoic,D
1489,AKDE&ED_2008_4_27,"In Alaska, there are fewer hours of daylight in the winter than in the summer. Which statement best explains why this difference occurs?",The Sun burns hotter in the summer.,The Sun moves below the horizon in the summer.,The Northern Hemisphere is closer to the Sun in the winter.,The Northern Hemisphere is tilted away from the Sun in the winter.,D
1490,NYSEDREGENTS_2011_8_30,Most of Earth's major earthquakes are caused by,seasonal heating and cooling of Earth's surface,weathering of rock at Earth's surface,Earth's gravitational attraction to the Moon,faulting of rock in Earth's crust,D
1491,Mercury_177083,A girl with long hair is going to be participating in an experiment that uses an alcohol burner for an energy source. What is the best thing for her to do to prepare for this experiment?,leave her large jacket in her locker for the day,use goggles during the experiment,tie her hair back away from her face,wear a lab apron during the experiment,C
1492,Mercury_7107223,Which factor would have the greatest influence on the southern migration of animals living in the Northern Hemisphere?,strong storms,long periods of drought,cold air temperatures,increasing daylight hours,C
1493,Mercury_405768,What carries oxygen throughout the body?,white blood cells,brain,red blood cells,nerves,C
1494,Mercury_SC_401301,Which is the best example of an inherited behavior?,a bear knowing the best place to catch salmon,a cat clawing on a tree to sharpen its claws,a dog coming when it hears a bell,a horse trotting its way back to the barn,B
1495,NYSEDREGENTS_2009_4_15,What do all animals need in order to survive?,"rocks, water, and soil","water, air, and food","air, rocks, and sunlight","food, soil, and sunlight",B
1496,Mercury_7109025,"Estella spilled tomato sauce on her shirt. When she washed her shirt, she noticed that the detergent she used contained enzymes. Enzymes are added to detergents to break down proteins from food and other substances that may stain clothing. Which would most likely inhibit the ability of the enzymes to remove the stain on her shirt?",the amount of dissolved minerals in the water,the type of fibers from which her shirt was made,the temperature of the water,the fragrances in the detergent,C
1497,CSZ30661,Which of the following best describes an atom?,protons and electrons grouped together in a random pattern,protons and electrons grouped together in an alternating pattern,a core of protons and neutrons surrounded by electrons,a core of electrons and neutrons surrounded by protons,C
1498,MCAS_2004_9_12,"At a weightlifting competition, two competitors lifted the same weight to the same height. The second competitor accomplished the lift 2 seconds faster than the first competitor. This demonstrated that the second competitor had more",energy than the first.,inertia than the first.,power than the first.,work than the first.,C
1499,Mercury_7197943,"The fur color of a bear varies with its environment. Polar bears found in the Arctic have white fur, while black bears found in Pennsylvania have dark fur. Which best describes the variation of fur color amongst the bear species?",modified characteristic,ecological succession,structural adaptation,selective breeding,C
1500,Mercury_SC_406058,"A car has a small gasoline engine combined with a battery-powered electric motor. When the car stops at a red light, the gasoline engine stops running and the electric motor begins working. How does this type of car most likely benefit people?",reduces traffic,uses less gasoline,accelerates faster,carries more passengers,B
